RENT_NM,RENT_TYPE,STATION_NO,STATION_NAME,GENDER_CD,AGE_TYPE,USE_CNT,EXER_AMT,CARBON_AMT,MOVE_METER,MOVE_TIME,START_INDEX,END_INDEX,RNUM
202308,정기권,05078,5078. 왈도강서캠퍼스 앞,F,20대,161,4981.42,51.57,222080.71,1766,0,0,21581
202308,정기권,05080,5080. 가양역 1번출구,F,20대,279,9441.96,94.83,417962.10,3586,0,0,21598
202308,정기권,05082,5082. 가양역 7번출구,F,20대,616,16986.57,167.00,721509.44,6711,0,0,21609
202308,정기권,05084,5084. 강서우체국,F,20대,118,3241.90,31.44,135501.92,1722,0,0,21617
202308,정기권,05086,5086. 가양테크노타운,F,20대,29,1652.94,16.44,72022.50,494,0,0,21636
202308,정기권,05087,5087. 연세강서빌딩,F,20대,138,5963.46,61.89,266919.73,2074,0,0,21648
202308,정기권,05088,5088. 등촌역 센터스퀘어,F,20대,166,6163.18,62.84,271159.13,2502,0,0,21644
202308,정기권,05089,5089. LG사이언스파크 E10동,F,20대,175,3991.94,40.38,177683.33,1458,0,0,21647
202308,정기권,05090,5090. 대상연구소,F,20대,98,3399.99,34.61,148830.47,1218,0,0,21656
202308,정기권,05091,5091. 보타닉파크타워2,F,20대,190,6892.54,68.16,293906.33,2415,0,0,21664
202308,정기권,05094,5094. 호돌이공원,F,20대,68,3012.43,28.86,124287.35,1198,0,0,21704
202308,정기권,05095,5095. 원당근린공원,F,20대,334,11550.58,115.27,498953.24,4876,0,0,21750
202308,정기권,05096,5096. LG사이언스파크 E14동,F,20대,265,6153.23,62.20,268358.85,2822,0,0,21774
202308,정기권,05301,5301. 상계주공1단지 버스정류장 옆(대원빌딩 앞),F,20대,216,8456.89,82.84,357311.26,4315,0,0,21527
202308,정기권,05305,5305. 대륜E&S 서울지사 앞,F,20대,29,1458.49,13.50,58212.42,441,0,0,21576
202308,정기권,05306,5306. 동신아파트 후문 옆,F,20대,388,16943.48,166.18,717617.51,6981,0,0,21573
202308,정기권,05308,5308. 상계신동아아파트,F,20대,22,3325.74,32.94,141990.14,876,0,0,21612
202308,정기권,05309,5309. 월계 롯데캐슬아파트 뒤,F,20대,63,3743.79,38.18,164537.19,960,0,0,21618
202308,정기권,05310,5310. 목련아파트,F,20대,42,1063.40,11.16,48068.03,695,0,0,21628
202308,정기권,05311,5311. 주공601동 상가 노원지하보도 앞,F,20대,180,5714.65,59.70,259321.12,3228,0,0,21634
202308,정기권,05313,5313. 중계주공2단지 앞,F,20대,17,756.48,7.63,32851.78,226,0,0,21642
202308,정기권,05314,5314. 월계1동주민센터 앞,F,20대,44,1514.01,14.44,62294.93,338,0,0,21641
202308,정기권,05315,5315. 당고개역 앞,F,20대,14,568.23,5.44,23391.27,168,0,0,21653
202308,정기권,05317,5317. 공릉동 신도1차 아파트 뒤,F,20대,93,4199.40,39.98,173881.09,1808,0,0,21687
202308,정기권,05318,5318. 극동의 푸른별 아파트 뒤(중계4동주민센터 앞),F,20대,9,321.54,3.89,16739.22,130,0,0,21668
202308,정기권,05319,5319. 연해피빌 앞,F,20대,159,3770.12,39.45,174222.03,2140,0,0,21695
202308,정기권,05320,5320. 한국스포츠정책과학원 앞,F,20대,13,1425.31,13.62,58700.40,308,0,0,21714
202308,정기권,05321,5321.불암아파트 앞,F,20대,38,1928.77,21.02,90527.66,562,0,0,21736
202308,정기권,05322,5322.노원성당 앞,F,20대,21,1333.58,11.39,49100.88,356,0,0,21741
202308,정기권,05323,5323. 하계역 4번출구 앞,F,20대,14,379.30,3.71,15981.87,135,0,0,21779
202308,정기권,05503,5503. 마포아트센터 앞,F,20대,133,4085.57,39.41,169760.59,1251,0,0,21650
202308,정기권,05504,5504.아현교회,F,20대,34,1222.94,12.83,55427.70,368,0,0,21738
202308,정기권,05506,5506. 월드컵참누리아파트,F,20대,55,2592.07,26.66,114933.00,749,0,0,21767
202308,정기권,05751,5751. 송파여성축구장,F,20대,23,1241.80,12.28,52996.18,409,0,0,21582
202308,정기권,05752,5752. 풍납백제문화공원 옆 인근,F,20대,206,8035.72,82.83,357130.50,2925,0,0,21584
202308,정기권,05753,5753. 호반써밋,F,20대,46,1425.63,21.04,90599.52,898,0,0,21585
202308,정기권,05756,5756. 극동아파트,F,20대,88,2535.15,24.84,109198.31,941,0,0,21651
202308,정기권,05758,5758. 올림픽선수기자촌아파트 123동 근처,F,20대,35,1765.29,17.85,76957.49,632,0,0,21652
202308,정기권,05759,5759. 풍납근린공원,F,20대,122,3719.37,37.02,159686.09,1445,0,0,21660
202308,정기권,05760,5760. 풍납사거리 성내유수지,F,20대,68,2482.78,26.27,113359.80,1056,0,0,21667
202308,정기권,05761,5761. 버섯분수대,F,20대,110,7768.22,79.57,343091.93,2552,0,0,21673
202308,정기권,05763,5763. 세륜초등학교 건너편,F,20대,14,739.47,7.11,30583.09,247,0,0,21670
202308,정기권,05764,5764. 한국체육대학교,F,20대,42,1957.86,18.80,80975.55,544,0,0,21671
202308,정기권,05765,5765. 삼전동주민센터 건너편,F,20대,120,3985.98,40.47,174440.23,1583,0,0,21682
202308,정기권,05766,5766. 북위례1,F,20대,29,1204.46,11.23,48404.26,507,0,0,21712
202308,정기권,05767,5767. 북위례2,F,20대,12,417.11,4.01,17280.56,308,0,0,21713
202308,정기권,05768,5768.방이삼거리,F,20대,557,24636.68,243.54,1055701.08,10347,0,0,21739
202308,정기권,05773,5773. 송파시그니처롯데캐슬,F,20대,9,487.01,4.05,17483.43,200,0,0,21754
202308,정기권,05774,5774. 가락본동주민센터 인근,F,20대,175,8245.99,80.39,346521.36,2679,0,0,21753
202308,정기권,05775,5775. 가락시장역 5번출구,F,20대,37,1484.05,15.05,64808.33,475,0,0,21765
202308,정기권,05777,5777. 호반써밋12단지,F,20대,33,1004.16,9.81,42267.16,338,0,0,21769
202308,정기권,05851,5851. 도림천 건널목 위,F,20대,54,4857.96,46.06,198469.43,1173,0,0,21552
202308,정기권,05852,5852. 대림동현대2차 201동 앞,F,20대,8,220.83,2.40,10385.59,96,0,0,21553
202308,정기권,05853,5853. 여의도역2번출구 앞,F,20대,71,1848.80,18.92,84837.47,1795,0,0,21574
202308,정기권,05854,5854. 신한금융투자 앞,F,20대,222,14506.35,148.87,641670.27,5295,0,0,21586
202308,정기권,05855,5855. 하이투자증권 앞,F,20대,114,5767.29,58.86,253741.01,3135,0,0,21587
202308,정기권,05857,5857. U레지던스 앞,F,20대,75,3208.11,34.33,148042.78,1107,0,0,21619
202308,정기권,05858,5858. 영등포역5번출구,F,20대,390,17579.78,165.58,716269.39,6287,0,0,21661
202308,정기권,05859,5859. 여의도 삼부아파트,F,20대,76,5662.72,56.27,246523.16,1680,0,0,21680
202308,정기권,05860,5860. 어울림병원 앞,F,20대,84,3456.57,33.28,143697.66,1102,0,0,21692
202308,정기권,05861,5861. 보라주유소 앞,F,20대,65,2301.30,23.90,103171.98,1000,0,0,21691
202308,정기권,05862,5862. 당산역11번출구,F,20대,383,11650.90,115.16,496394.86,4897,0,0,21708
202308,정기권,05864,5864.장훈고 앞,F,20대,32,1158.54,10.65,45955.31,458,0,0,21724
202308,정기권,05865,5865.더리브오피스텔 앞,F,20대,243,9739.99,94.39,406342.13,3554,0,0,21728
202308,정기권,05866,5866.포레나 당산,F,20대,282,8012.74,81.39,353111.62,4434,0,0,21737
202308,정기권,05867,5867. H타워 앞,F,20대,263,10982.04,109.60,472795.50,4106,0,0,21757
202308,정기권,05868,5868. 로프트시티오피스텔,F,20대,104,4515.98,44.60,194746.90,1926,0,0,21760
202308,정기권,05869,5869. 영등포아트홀 앞,F,20대,43,1635.85,16.10,69360.39,528,0,0,21764
202308,정기권,05870,5870. LG트윈타워 앞,F,20대,89,7132.62,69.86,303073.85,2309,0,0,21761
202308,정기권,05871,5871. 건영상가 앞,F,20대,42,890.44,8.77,37979.71,258,0,0,21773
202308,정기권,06053,6053. 중부세무서 앞,F,20대,29,1061.27,10.55,45452.50,542,0,0,21681
202308,정기권,06054,6054.청구e편한세상아파트 113동 앞,F,20대,86,2500.87,26.19,114639.39,1209,0,0,21735
202308,정기권,06055,6055. 한국경제,F,20대,17,1050.09,10.15,43806.54,314,0,0,21778
202308,정기권,00104,104. 합정역 1번출구 앞,F,20대,135,7711.16,76.82,335505.34,3001,0,0,22025
202308,정기권,00105,105. 합정역 5번출구 앞,F,20대,76,6397.56,62.58,269788.17,2000,0,0,22116
202308,정기권,00106,106. 합정역 7번출구 앞,F,20대,228,18573.20,184.39,797971.44,7615,0,0,22212
202308,정기권,00107,107. 신한은행 서교동지점,F,20대,263,12115.50,115.30,497310.52,5649,0,0,22303
202308,정기권,00108,108. 서교동 사거리,F,30대,70,4343.52,42.55,183268.59,2157,0,0,22399
202308,정기권,00109,109. 제일빌딩 앞,F,30대,110,9314.60,95.41,412609.16,4111,0,0,22486
202308,정기권,00111,111. 상수역 2번출구 앞,F,30대,43,3077.80,30.97,133663.26,1080,0,0,22836
202308,정기권,00112,112. 극동방송국 앞,F,30대,67,2818.63,27.89,120171.44,1780,0,0,22919
202308,정기권,00115,115. 마스타 빌딩 앞,F,30대,69,2611.82,26.18,121011.87,1334,0,0,22575
202308,정기권,00207,207. 여의나루역 1번출구 앞,F,20대,326,40316.65,398.67,1744266.00,11870,0,0,22144
202308,정기권,00213,213. KT앞,F,20대,224,7186.35,70.07,302875.73,2832,0,0,22018
202308,정기권,00214,214. 금융감독원 앞,F,20대,84,3101.14,30.41,141985.86,2145,0,0,22026
202308,정기권,00215,215. 여의도고교 앞,F,20대,60,7687.66,76.89,331410.69,2317,0,0,22063
202308,정기권,00217,217. NH농협은행 앞,F,20대,167,9201.41,91.91,400778.55,3502,0,0,22080
202308,정기권,00219,219. 롯데캐슬엠파이어 옆,F,20대,145,6759.19,69.17,298276.75,3823,0,0,22042
202308,정기권,00220,220. 미성아파트 A동 앞,F,20대,48,1958.22,20.50,88413.44,921,0,0,22052
202308,정기권,00221,221. 여의도초교 앞,F,20대,41,4245.32,43.41,187020.62,1403,0,0,22091
202308,정기권,00222,222. 시범아파트버스정류장 옆,F,20대,124,5021.04,46.73,205337.40,1793,0,0,22101
202308,정기권,00223,223. 진주아파트상가 앞,F,20대,59,1626.30,16.38,70527.15,807,0,0,22106
202308,정기권,00224,224. 롯데캐슬 앞,F,20대,86,4003.73,37.99,163914.66,1337,0,0,22117
202308,정기권,00225,225. 앙카라공원 앞,F,20대,109,3428.86,34.93,150623.97,1661,0,0,22126
202308,정기권,00226,226. 샛강역 1번출구 앞,F,20대,147,6039.05,60.23,261625.14,2086,0,0,22133
202308,정기권,00275,275. 신동아아파트,F,30대,281,11569.92,115.15,501867.45,6011,0,0,22678
